time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1584175539.48027706,0.02728304,0.00480854,0.00000259,18619.00000000,0.02691994,0.000000,0.000000
1584175539.58031702,0.02731195,0.00532489,0.00000248,18655.00000000,0.02829472,0.000000,0.000000
1584175539.68043208,0.02739049,0.00540288,0.00000239,18702.00000000,0.03013942,0.000000,0.000000
1584175539.78054810,0.02742614,0.00524499,0.00000245,18691.00000000,0.02870945,0.000000,0.000000
1584175539.88067508,0.02738025,0.00490558,0.00000228,18715.00000000,0.02568242,0.000000,0.000000
1584175539.98064899,0.02740728,0.00533935,0.00000236,18730.00000000,0.02843452,0.000000,0.000000
1584175540.08078289,0.02735226,0.00493325,0.00000223,18730.00000000,0.02520638,0.000000,0.000000
1584175540.18084788,0.02734328,0.00574816,0.00000228,18727.00000000,0.02698402,0.000000,0.000000
1584175540.28096509,0.02735737,0.00497758,0.00000227,18775.00000000,0.02793494,0.000000,0.000000
1584175540.38104701,0.02736074,0.00534091,0.00000242,18803.00000000,0.02750231,0.000000,0.000000
1584175540.48113203,0.02733307,0.00532690,0.00000228,18887.00000000,0.02614329,0.000000,0.000000
1584175540.58120394,0.02733411,0.00491761,0.00000244,18427.00000000,0.02738002,0.000000,0.000000
1584175540.68131304,0.02728557,0.00493106,0.00000226,18530.00000000,0.02510124,0.000000,0.000000
1584175540.78138995,0.02723894,0.00504334,0.00000226,18583.00000000,0.02509381,0.000000,0.000000
1584175540.88148403,0.02729338,0.00486084,0.00000281,18605.00000000,0.02985209,0.000000,0.000000
1584175540.98154712,0.02728009,0.00521685,0.00000231,18640.00000000,0.02664220,0.000000,0.000000
1584175541.08163404,0.02737761,0.00527547,0.00000276,18647.00000000,0.03215607,0.000000,0.000000
1584175541.18172312,0.02734557,0.00493622,0.00000230,18654.00000000,0.02574368,0.000000,0.000000
1584175541.28181791,0.02737712,0.00497616,0.00000263,18675.00000000,0.02898594,0.000000,0.000000
1584175541.38193607,0.02739037,0.00490671,0.00000242,18726.00000000,0.02807938,0.000000,0.000000
1584175541.48197889,0.02736597,0.00515710,0.00000228,18801.00000000,0.02607274,0.000000,0.000000
1584175541.58209109,0.02734396,0.00469525,0.00000230,18889.00000000,0.02615561,0.000000,0.000000
1584175541.68214297,0.02734119,0.00486990,0.00000241,18935.00000000,0.02718871,0.000000,0.000000
1584175541.78223705,0.02737234,0.00505861,0.00000244,18990.00000000,0.02911703,0.000000,0.000000
1584175541.88235998,0.02732979,0.00492380,0.00000230,18996.00000000,0.02490442,0.000000,0.000000
